Title,Location,Price,Details,City
A Liveable House / 1066 Sqyrds / F-7 Is Available For Sale,"F-7, Islamabad",6.63 Crore,"Details: 
1. Size 80. x 120 = 1066",Islamabad
10 MARLA USED HOUSE FOR SALE MPCHS F-17 ISLAMABAD ALL FACILITY AVAILABLE CDA APPROVED SECTOR,"F-17, Islamabad",1.37 Crore,10 MARLA USED HOUSE FOR SALE MPCHS,Islamabad
Kanal House Available For Sale In Dha Phase 2 Islamabad,"DHA Phase 2 - Sector D, DHA Defence Phase 2",43.5 Crore,We offer you Kanal brand new house,Islamabad
Prime Location G-9/4 House For sale Sized 10 Marla,"G-9/4, G-9",2.81 Crore,Prime Location Margalla View Double,Islamabad
(35*70) Proper Corner First Entry Designer house for sale in G-13 Islamabad,"G-13, Islamabad",8.85 Crore,Beautiful made house with elegant d,Islamabad
Perfect 1 Kanal House In Soan Garden - Block F For sale,"Soan Garden - Block F, Soan Garden",7 Crore,Double Storey House Available For S,Islamabad
End Your Search For House Here And sale Now,"G-13/1, G-13",7.95 Crore,Brand New 25x40 Modern Luxury House,Islamabad
Affordable Prime Location House Of 1000 Square Feet Is Available For sale,"G-13/4, G-13",4.9 Crore,Brand New 25x40 Modern Luxury House,Islamabad
F-17 Tele Garden Main Markaz,"F-17, Islamabad",3.6 Crore,"2 Bed flat for sale in Sector F-17,",Islamabad
New Modern Design House 6 Bedrooms with garden For Sale in sector D-12 Islamabad,"D-12/2, D-12",3.45 Crore,New Modern Design House 6 Bedrooms,Islamabad
Luxury Apartment in Gulberg Greens | One Bed Apartment For Sale in Gulberg Islamabad | Gulberg Rabi Center | Flat in Gulberg,"Gulberg Greens, Gulberg",60 Lakh,Are you looking to book an apartmen,Islamabad
5 Marla Brand New Beautiful Fully Designer House Available For Sale,"Bahria Enclave - Sector I, Bahria Enclave",18 Crore,"Bahria Enclave Islamabad
House For",Islamabad
Reserve A Flat Now In Bahria Enclave - Sector G,"Bahria Enclave - Sector G, Bahria Enclave",65.2 Lakh,One bed apartment is available for,Islamabad
1.5 kanal ultra luxurious Designer House for sale in DHA-2 Islamabad,"DHA Defence Phase 2, DHA Defence",2.4 Crore,"Dha2
1.5 kanal luxurious furnished",Islamabad
kanal House for Sale,"F-11/3, F-11",65 Lakh,"Kanal house for sale F11/3
cornor h",Islamabad
2 Bedrooms Furnished Apartment Is Available For Sale In Karakoram Diplomatic Enclave Islamabad,"Karakoram Diplomatic Enclave, Islamabad",16.5 Crore,2 Bedrooms Furnished Apartment is A,Islamabad
2 Bedrooms Furnished Apartment For Sale in Karakoram Diplomatic Enclave,"Karakoram Diplomatic Enclave, Islamabad",18.5 Crore,2 Bedrooms Furnished Apartment For,Islamabad
Diplomatic Enclave 2 Bedroom Apartment For Sale In Royal,"Diplomatic Enclave, Islamabad",6.6 Crore,A Flat that is located in the prime,Islamabad
2 Bedrooms Furnished Apartment In Karakoram Diplomatic Enclave For Sale,"Karakoram Diplomatic Enclave, Islamabad",8.5 Crore,2 Bedrooms Furnished Apartment in K,Islamabad
Beautiful master piece Double unit Designer house for sale in DHA-2 Islamabad,"DHA Defence Phase 2, DHA Defence",4.6 Crore,1 Kanal ultra Designer house for sa,Islamabad
01 kanal brand new Designer single unit house for sale at prime location of dha 2,"DHA Defence Phase 2, DHA Defence",8.3 Crore,1 Kanal ultra classic designer hous,Islamabad
House Sized 235 Square Yards Is Available For sale In Bahria Town - Precinct 31,"Bahria Town - Precinct 31, Bahria Town Karachi",1.43 Crore,If you are interested in buying a H,Karachi
Construct Your 250 Square Yard Villa In Bahria Town Karachi With A Plus Construction,"Bahria Town - Precinct 8, Bahria Town Karachi",1.95 Crore,Get your villa now on Installment p,Karachi
1350 Sqft Brand New 3 Bed Dd Flat Easily Loan Process,"Grey Noor Tower & Shopping Mall, Scheme 33",2.99 Crore,"3 BED DD BRAND NEW
EASILY LOAN PROC",Karachi
VILLA IS AVAILABLE FOR SALE,"Bahria Town - Precinct 12, Bahria Town Karachi",1.45 Crore,"BAHRIA TOWN KARACHI 

PRECINCT 12",Karachi
"152 Square Yards House For sale In Rs. 13,000,000 Only","Bahria Town Karachi, Karachi",1.4 Crore,The House comes with spacious rooms,Karachi
240 yards Park Facing Banglow available for sell near Enterence,"Naya Nazimabad - Block B, Naya Nazimabad",22.88 Lakh,"NAYA NAZIMABAD
Block B
240 yards
Pa",Karachi
"Beautiful House on 60ft Boulevard, West open for Sell","Naya Nazimabad, Karachi",1.3 Crore,"NAYA NAZIMABAD
Block D
160 Yards
Gr",Karachi
A Good Option For sale Is The House Available In North Nazimabad - Block T In Karachi,"North Nazimabad - Block T, North Nazimabad",3.45 Crore,House for sale at the prime locatio,Karachi
Outclass Brand New 500 Yard House For Sale,"DHA Phase 8, DHA Defence",3.5 Crore,Outclass Brand New 500 Yard House F,Karachi
Brand New Architect Designed 1000 Yard House For Sale,"DHA Phase 8 - Zone A, DHA Phase 8",3.15 Crore,Architect Designed 1000 Courtyard V,Karachi
Dha 1000 yard brand new modern style house phase 8 for sale,"DHA Phase 8 - Zone A, DHA Phase 8",18.5 Crore,"1000 YARDS ON 90 FRONT
BRAND NEW OW",Karachi
1150 Sq Feet Brand New 3 Bed Dd Flat,"Grey Noor Tower & Shopping Mall, Scheme 33",38 Crore,"3 BED DD BRAND NEW
PRIME LOCATION
E",Karachi
240 Yards G+1 Bungalow For Sale,"Hansa Society, Scheme 33",27 Crore,240 Yards G + 1 Bungalow available,Karachi
Flat For Sale In Shalimar Centre 4th Floor With Roof Terrace,"Gulistan-e-Jauhar - Block 17, Gulistan-e-Jauhar",1.15 Crore,Flat For Sale In Shalimar Centre 4,Karachi
"Brand New Bungalow For Sale, Falcon Complex New Malir Afohs","Falcon Complex New Malir, Malir",3.8 Crore,"Brand New SD House for SALE 
Falcon",Karachi
Prime Location,"Saadi Town, Scheme 33",79 Lakh,VIP Location House Good Condition A,Karachi
Prime Location,"Saadi Town, Scheme 33",8 Crore,VIP Location House Good Condition A,Karachi
4bed westupon Dominion Luxeries Appartments In Pricetn1 on Installments Plain,"Bahria Town - Precinct 1, Bahria Town Karachi",2.7 Crore,"Construction Process Start
Westupon",Karachi
Brand New 3 Beds Beautiful West Open Apartment for Sale Dha Phase 6 Most wanted Location,"DHA Phase 6, DHA Defence",2 Crore,Phase 6 Apartment for Sale Near Itt,Karachi
Double Storey 600 Square Yards House For sale In Gulistan-e-Jauhar - Block 14 Karachi,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",1.47 Crore,"House For Sale
Gulistane johar
Bloc",Karachi
A Perfect House Awaits You In Capital Cooperative Housing Society Karachi,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",1.9 Crore,"House For Sale
Capital society 
120",Karachi
Lower Portion For Sale Situated In Gulistan-e-jauhar - Block 2,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",7.5 Crore,"Johar 
Block 2
300sq 
Lower Portion",Karachi
House For sale In Beautiful Navy Housing Scheme Karsaz,"Navy Housing Scheme Karsaz, Karachi",2.65 Crore,This well-planned House enjoys well,Karachi
In Navy Housing Scheme Karsaz 350 Square Yards House For sale,"Navy Housing Scheme Karsaz, Karachi",2.65 Crore,Buy best Houses in Navy Housing Sch,Karachi
Want To Buy A House In Navy Housing Scheme Karsaz?,"Navy Housing Scheme Karsaz, Karachi",11.5 Crore,Owning a House like this one is a d,Karachi
Prominently-Located Prime Location House Available In Bahria Town Karachi For sale,"Bahria Town Karachi, Karachi",1.15 Crore,Villa Available For Sale In Bahria,Karachi
272 Sq Yard Villa Available For Sale At Good Location Of Bahria Town Karachi,"Bahria Town - Precinct 30, Bahria Town Karachi",2.6 Crore,"COUNSTRUCT YOUR 272,SQYD PRECINT 30",Karachi
300 yards Bungalow with Basement Available for Sale on Booking,"DHA Phase 6, DHA Defence",9.39 Lakh,300 yards Beautiful House is availa,Karachi
Aesthetically Designed Fully Renovated Bungalow,"DHA Phase 4, DHA Defence",8.25 Crore,"Newly Renovated Like Brand New!

50",Karachi
"Precint 31, 235sq yds Villa Available For Sale At Good Location of Bahria Town Karachi","Bahria Town - Precinct 31, Bahria Town Karachi",11.5 Crore,235 sq yds Villa In Just Rs:160lacs,Karachi
500 Yard Maintain House for Sale,"DHA Phase 5, DHA Defence",1.39 Crore,"Its west Open House Corner House, A",Karachi
Get In Touch Now To Buy A Flat In Karachi,"Nishat Commercial Area, DHA Phase 6",1.45 Crore,"STUDIO APARTMENT FOR SALE 

500 sqt",Karachi
Brand New Park Facing 120 yards One Unit Park Facing Banglow for Sell in block C,"Naya Nazimabad, Karachi",10 Crore,"NAYA NAZIMABAD
Block C
Urban Forest",Karachi
Ready To Move Villa In Precinct 12 Ali Block,"Bahria Town - Ali Block, Bahria Town - Precinct 12",75 Lakh,We Are Authorized Dealer Of Bahria,Karachi
Sports City Villa Available On Reasonable Price,"Bahria Sports City, Bahria Town Karachi",2.7 Crore,We Are Authorized Dealer Of Bahria,Karachi
Brand New 3 Bed D/D 1250 Sq Feet Flat For Sale,"Grey Noor Tower & Shopping Mall, Scheme 33",1.35 Crore,"NEW PROJECT
PRIME LOCATION IN SCHEM",Karachi
Book A Flat Of 750 Square Feet In Grey Noor Tower & Shopping Mall Karachi,"Grey Noor Tower & Shopping Mall, Scheme 33",1.92 Crore,"BRAND NEW PROJECT 
Brand New 2 Bed",Karachi
Prime Location,"Saadi Town, Scheme 33",1.45 Crore,VIP Location House Good Condition A,Karachi
Prime Location,"Saadi Town, Scheme 33",80 Lakh,VIP Location House Good Condition A,Karachi
Prime Location,"Saadi Town, Scheme 33",1.6 Crore,VIP Location House Good Condition A,Karachi
Prince Associates,"Bahadurabad, Gulshan-e-Iqbal Town",3 Crore,"flat for sale 3 bed DD
1st floor
co",Karachi
Prince Associates,"PECHS Block 2, PECHS",1.35 Crore,"brand new
Flat for Sale 
2 bed D. D",Karachi
A Stunning House Is Up For Grabs In Navy Housing Scheme Karsaz Navy Housing Scheme Karsaz,"Navy Housing Scheme Karsaz, Karachi",2.5 Crore,We offer you just the right House t,Karachi
350 Square Yards House Is Available In Navy Housing Scheme Karsaz,"Navy Housing Scheme Karsaz, Karachi",1.75 Crore,Here's the tactfully chosen House f,Karachi
Get Your Hands On House In Navy Housing Scheme Karsaz Best Area,"Navy Housing Scheme Karsaz, Karachi",12 Crore,House comes with spacious rooms and,Karachi
"Ideal 350 Square Yards House Available In Navy Housing Scheme Karsaz, Navy Housing Scheme Karsaz","Navy Housing Scheme Karsaz, Karachi",12.5 Crore,The House here is constructed with,Karachi
Ready To Buy A House In Navy Housing Scheme Karsaz Navy Housing Scheme Karsaz,"Navy Housing Scheme Karsaz, Karachi",13 Crore,The House is well designed to accom,Karachi
350 Square Yards House For sale Is Available In Navy Housing Scheme Karsaz,"Navy Housing Scheme Karsaz, Karachi",13.5 Crore,The House comes well-fitted with mo,Karachi
Buying A House In Navy Housing Scheme Karsaz?,"Navy Housing Scheme Karsaz, Karachi",14 Crore,The House like this does not pop up,Karachi
Navy Housing Scheme Karsaz House Sized 350 Square Yards Is Available,"Navy Housing Scheme Karsaz, Karachi",14.5 Crore,If you're looking for a House for y,Karachi
dha phase 300 sq yard bunglow for sale 2+3Bedroom drawing dining kitchen cabinets out class solid construction work solid wood work important tile important fixtures fitting owner built,"DHA Phase 4, DHA Defence",10.25 Crore,dha phase 300 sq yard bunglow for s,Karachi
235 Square Yards House Up For Sale In Bahria Town Karachi Precinct 31,"Bahria Town - Precinct 31, Bahria Town Karachi",1.45 Crore,235 Square Yards House Up For Sale,Karachi
235 Square Yards House Up For Sale In Bahria Town Karachi Precinct 27,"Bahria Town - Precinct 27, Bahria Town Karachi",2 Crore,235 Square Yards House Up For Sale,Karachi
"125 Square Yards House Up For Sale In Bahria Town Karachi Precinct 12 ( Ali Block ) Park Facing , Near PSO Petrol Pump","Bahria Town - Precinct 12, Bahria Town Karachi",1.6 Crore,125 Square Yards House Up For Sale,Karachi
Highly-Desirable Prime Location 950 Square Feet Flat Available In Bahria Town Karachi,"Bahria Town Karachi, Karachi",1.4 Crore,Launching Price Of This Apartment W,Karachi
Ready To Move 500 Yard Bahria Paradise Villa,"Bahria Paradise - Precinct 51, Bahria Paradise",1.13 Crore,We Are Authorized Dealer Of Bahria,Karachi
House for sale 400 sq yards One Unit 5 bed dd,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",55 Lakh,"Gulistan e jauhar
400 sq yards Hous",Karachi
Gray Structure For Sale In Ali Ze Garden Malir Khokhrapar,"Malir, Karachi",4.15 Crore,"Gray structure
04 Bed + DD
Only Fin",Karachi
House For Sale In Gulshan E Noman Adjacent To Saima Green Valley Malir,"Malir, Karachi",6 Crore,"House For sale
In Gulshan e Noman a",Karachi
Brand New Bungalow for Sale in off Khayaban e Roomi DHA Phase 8,"DHA Phase 8, DHA Defence",80 Lakh,"Brand New Bungalow for Sale,

500 Y",Karachi
240 Yard Double Story Maintain House,"Gulshan-e-Iqbal - Block 4A, Gulshan-e-Iqbal",75 Lakh,"Gulshan-e-Iqbal
VVIP Block 4-A
240",Karachi
600 Yard Double Storey West Open House On 60 Feet Wide Road,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",17 Crore,"Gulshan e Iqbal
Block 7
600 Sq Yard",Karachi
Prince Associates,"Bahadurabad, Gulshan-e-Iqbal Town",5.25 Crore,"Flat for sale

4 Bed D. D

3rd floo",Karachi
Town House Available For Sale On Maniya Society Near Tariq Road,"Shaheed Millat Road, Karachi",9.7 Crore,4 Bed Room With Attached Bath Drawi,Karachi
500 YARDS BANGLOW FOR SALE,"DHA Phase 8, DHA Defence",3.85 Crore,"BANGLOW FOR SALE
2+3+study
Drawing",Karachi
1st Floor 3 Bed Dd Flat Available For Sell,"Hill Park, Karachi",8.5 Crore,1st Floor 3 Bed Dd Flat Available F,Karachi
1150 Square Feet Flat In Stunning Bahria Heights Is Available For sale,"Bahria Heights, Bahria Town Karachi",13 Crore,The Flat is designed to suit both s,Karachi
Looking For A House In Navy Housing Scheme Karsaz,"Navy Housing Scheme Karsaz, Karachi",2.6 Crore,"You don't have to search further, a",Karachi
Get In Touch Now To Buy A House In Navy Housing Scheme Karsaz,"Navy Housing Scheme Karsaz, Karachi",70 Lakh,So you're interested in taking up t,Karachi
350 Square Yards House In Central Navy Housing Scheme Karsaz For sale,"Navy Housing Scheme Karsaz, Karachi",12.5 Crore,"Take it from us, but it isn't every",Karachi
350 Square Yards House For sale In Beautiful Navy Housing Scheme Karsaz,"Navy Housing Scheme Karsaz, Karachi",13 Crore,You can now purchase your House at,Karachi
350 Square Yards House In Navy Housing Scheme Karsaz Is Available,"Navy Housing Scheme Karsaz, Karachi",13.5 Crore,The House is located at a close dis,Karachi
Gorgeous 350 Square Yards House For sale Available In Navy Housing Scheme Karsaz,"Navy Housing Scheme Karsaz, Karachi",14 Crore,A well-designed House like this isn,Karachi
350 Square Yards House Ideally Situated In Navy Housing Scheme Karsaz,"Navy Housing Scheme Karsaz, Karachi",11.5 Crore,You can book your House today at an,Karachi
